mean	sd	2.5%	97.5%	Rhat	n.eff
theta[16,2]	-1.6481	0.2836	-2.1966	-1.0619	1.0011	12000
theta[17,2]	-1.5615	0.2494	-2.03	-1.0532	1.001	23000
theta[18,2]	-1.901	0.2744	-2.468	-1.3869	1.001	27000
theta[19,2]	-1.9101	0.2977	-2.5427	-1.3665	1.0011	16000
theta[20,2]	-1.8245	0.2783	-2.3923	-1.2955	1.0011	10000
theta[21,2]	-1.8287	0.324	-2.5116	-1.2157	1.001	27000
theta[22,2]	-1.8667	0.314	-2.5249	-1.2891	1.001	27000
theta[23,2]	-1.8173	0.3137	-2.4727	-1.2175	1.0011	13000
theta[24,2]	-0.844	0.2664	-1.378	-0.331	1.0009	27000
theta[25,2]	-0.653	0.285	-1.1795	-0.067	1.001	20000
theta[26,2]	-0.7577	0.3347	-1.4094	-0.075	1.001	20000
theta[27,2]	-0.8623	0.3029	-1.4881	-0.2814	1.001	27000
theta[28,2]	-0.8737	0.2729	-1.4327	-0.3559	1.001	27000
theta[29,2]	-0.8655	0.2996	-1.4825	-0.2907	1.0009	27000
theta[30,2]	-1.6238	0.2904	-2.234	-1.0835	1.0011	12000
theta[31,2]	-1.7769	0.3121	-2.4395	-1.2198	1.001	24000
theta[32,2]	-1.6386	0.3033	-2.277	-1.0789	1.001	27000
theta[33,2]	-1.4586	0.2592	-1.963	-0.9367	1.001	26000
theta[34,2]	-1.2504	0.2779	-1.7636	-0.6712	1.0012	9300
theta[35,2]	-1.2983	0.2906	-1.8701	-0.7263	1.0013	5600
theta[36,2]	-1.3351	0.3117	-1.9661	-0.7387	1.0011	12000
theta[37,2]	-1.2003	0.3096	-1.8123	-0.5899	1.0016	2900
theta[38,2]	-1.2047	0.3221	-1.832	-0.5687	1.001	27000
theta[39,2]	-1.4687	0.3902	-2.2432	-0.7073	1.001	21000
theta[40,2]	-1.5326	0.3314	-2.2028	-0.9002	1.0011	13000
theta[41,2]	-1.561	0.377	-2.3254	-0.8345	1.0012	8000
theta[42,2]	-1.3997	0.2471	-1.9081	-0.9263	1.001	27000
theta[43,2]	-1.364	0.2968	-1.9682	-0.7816	1.001	27000
theta[44,2]	-1.5864	0.2724	-2.1721	-1.1046	1.001	27000
theta[45,2]	-1.2748	0.2407	-1.7454	-0.7882	1.0011	17000
theta[46,2]	-1.1269	0.2611	-1.6009	-0.578	1.0012	7100
theta[47,2]	-1.4708	0.269	-2.0413	-0.9727	1.001	27000
theta[48,2]	-1.4362	0.2825	-2.0299	-0.9029	1.001	19000
theta[49,2]	-1.308	0.2278	-1.7581	-0.855	1.001	22000
theta[50,2]	-1.1422	0.2982	-1.6802	-0.5039	1.001	27000
theta[51,2]	-1.4003	0.3111	-2.0498	-0.8045	1.001	27000
theta[52,2]	-1.0718	0.2646	-1.62	-0.5773	1.001	27000
theta[53,2]	-0.9376	0.2958	-1.5285	-0.356	1.001	27000
theta[54,2]	-0.8755	0.2617	-1.3826	-0.3509	1.001	27000
theta[55,2]	-0.8598	0.252	-1.3533	-0.3581	1.001	27000
theta[56,2]	-1.0014	0.2728	-1.5398	-0.4705	1.001	27000
theta[57,2]	-1.0562	0.276	-1.6139	-0.5241	1.001	27000
theta[58,2]	-0.8828	0.2473	-1.3596	-0.3904	1.001	27000
theta[59,2]	0.5278	0.3133	-0.0751	1.1563	1.001	27000
theta[59,3]	-0.84	0.2902	-1.3644	-0.2199	1.0011	13000
theta[1,2]	0.8208	0.2102	0.3912	1.2262	1.001	27000
theta[2,2]	0.911	0.2059	0.5171	1.3299	1.001	27000
theta[3,2]	0.885	0.2527	0.3887	1.4059	1.001	27000
theta[4,2]	0.9061	0.2348	0.4505	1.3909	1.001	26000
theta[5,2]	0.8543	0.2554	0.3415	1.3596	1.0009	27000
theta[6,2]	0.5326	0.2058	0.1244	0.9309	1.001	27000
theta[1,2]	-0.5902	0.1714	-0.9345	-0.2652	1.001	21000
theta[2,2]	-0.361	0.2106	-0.7543	0.07	1.001	23000
theta[3,2]	-0.6724	0.2881	-1.3053	-0.1583	1.0012	8700
theta[4,2]	-0.3331	0.2125	-0.7317	0.1044	1.0011	18000
theta[5,2]	-0.5431	0.2007	-0.9323	-0.1478	1.0011	17000
theta[6,2]	-0.5131	0.1986	-0.9047	-0.1216	1.001	27000
theta[7,2]	-2.4372	0.2676	-2.9646	-1.9191	1.001	27000
theta[8,2]	-2.5055	0.2681	-3.0369	-1.9848	1.001	27000
theta[9,2]	-2.2274	0.4107	-3.0443	-1.4291	1.001	20000
theta[10,2]	1.8431	0.3357	1.1571	2.4883	1.001	23000
theta[1,2]	-2.53	0.6464	-4.0333	-1.4416	1.001	19000
theta[2,2]	-2.0871	0.3861	-2.8109	-1.3056	1.0012	7100
theta[3,2]	-1.7486	0.5627	-2.8701	-0.6629	1.0011	11000
theta[4,2]	-1.1183	0.5336	-2.1401	-0.0653	1.0009	27000
theta[5,2]	-0.9347	0.3945	-1.7002	-0.1341	1.0011	16000
theta[6,2]	-0.9861	0.2926	-1.5608	-0.4183	1.001	27000
theta[7,2]	-1.065	0.4282	-1.8677	-0.229	1.001	27000
theta[8,2]	-1.1526	0.4785	-2.0781	-0.2248	1.0013	5400
theta[9,2]	-1.2962	0.7084	-2.7016	0.0565	1.0013	6000
theta[10,2]	-1.1757	0.7363	-2.6006	0.2699	1.0013	5600
theta[1,2]	0.2791	0.2966	-0.3053	0.8625	1.001	27000
theta[2,2]	-0.9727	0.2356	-1.4383	-0.5196	1.0013	5900
theta[3,2]	-0.2655	0.2774	-0.8127	0.2777	1.001	22000
theta[4,2]	-1.0416	0.1906	-1.4144	-0.6688	1.0012	9000
theta[5,2]	-2.0484	0.6513	-3.3871	-0.8122	1.001	27000
theta[6,2]	-0.4406	0.2334	-0.9027	0.0112	1.0011	15000
theta[7,2]	-0.7239	0.4469	-1.6244	0.1466	1.0017	2800
theta[8,2]	-0.3172	0.5069	-1.3222	0.6898	1.001	27000
theta[9,2]	-0.0931	0.6351	-1.2819	1.2087	1.001	27000
theta[10,2]	-2.0526	1.036	-4.4695	-0.3912	1.0012	9200
theta[11,2]	0.1788	0.4424	-0.6676	1.0506	1.0011	14000
theta[12,2]	-1.8515	0.8233	-3.6798	-0.4544	1.001	24000
theta[13,2]	0.4843	0.3035	-0.0987	1.0847	1.001	26000
theta[14,2]	0.2083	0.2132	-0.2089	0.6253	1.0011	19000
theta[15,2]	1.082	0.2153	0.6506	1.491	1.001	27000
theta[16,2]	0.9925	0.73	-0.4189	2.4545	1.001	27000
theta[1,2]	-1.1648	0.335	-1.8634	-0.5423	1.0011	10000
theta[2,2]	-0.9303	0.3361	-1.575	-0.2442	1.0011	16000
theta[3,2]	-1.0135	0.2973	-1.6057	-0.4372	1.0011	16000
theta[4,2]	-0.8967	0.318	-1.4958	-0.2567	1.0011	15000
theta[5,2]	-1.2665	0.2823	-1.8201	-0.7123	1.001	27000
theta[6,2]	-1.5577	0.3692	-2.347	-0.9074	1.0012	7200
theta[7,2]	-1.0626	0.2827	-1.6114	-0.508	1.0009	27000
theta[8,2]	-0.6874	0.3036	-1.3281	-0.1292	1.001	27000
theta[9,2]	-0.56	0.2564	-1.0782	-0.0693	1.001	21000
theta[10,2]	-0.4348	0.1676	-0.7622	-0.1048	1.001	27000
theta[11,2]	-1.1126	0.2988	-1.7198	-0.5378	1.001	23000
theta[12,2]	-0.6899	0.2781	-1.209	-0.1162	1.0011	17000
theta[13,2]	-1.3162	0.3077	-1.949	-0.751	1.0009	27000
theta[14,2]	-0.8371	0.4181	-1.6986	-0.0531	1.001	27000
theta[15,2]	-0.6072	0.3983	-1.4021	0.1539	1.001	27000
theta[1,2]	-1.1641	0.251	-1.6598	-0.6704	1.0011	18000
theta[2,2]	-1.0288	0.2712	-1.5405	-0.4707	1.001	27000
theta[3,2]	-1.4043	0.2956	-2.0358	-0.8751	1.001	27000
theta[4,2]	-0.9602	0.2465	-1.4617	-0.4822	1.0009	27000
theta[5,2]	-0.8168	0.2131	-1.227	-0.3874	1.0009	27000
theta[6,2]	-1.072	0.2571	-1.6059	-0.6003	1.001	27000
theta[7,2]	-1.0421	0.276	-1.5575	-0.4689	1.0011	16000
theta[8,2]	-1.2377	0.2396	-1.7087	-0.7773	1.001	27000
theta[9,2]	-1.3354	0.2769	-1.9119	-0.8207	1.001	27000
theta[10,2]	-0.759	0.2249	-1.1868	-0.3034	1.0013	5100
theta[11,2]	-1.0404	0.244	-1.5542	-0.5939	1.0009	27000
theta[12,2]	-0.8322	0.1968	-1.2142	-0.4438	1.0012	6800
theta[1,2]	-0.7401	0.3225	-1.359	-0.1014	1.0009	27000
theta[2,2]	-0.2998	0.6492	-1.6976	0.8804	1.0011	18000
