mean	sd	2.5%	97.5%
delta[10,3]	-1.1491	0.61	-2.425	0.0032
delta[11,3]	-1.196	0.5755	-2.3796	-0.1253
delta[1,2]	-1.9835	0.5994	-3.159	-0.8141
delta[2,2]	0.233	0.1862	-0.1372	0.5954
delta[3,2]	0.2802	0.201	-0.1126	0.6801
delta[4,2]	1.8171	0.4828	0.8741	2.7595
delta[4,3]	1.4661	0.4494	0.5838	2.3524
delta[1,2]	-1.2554	0.2068	-1.6645	-0.8518
delta[2,2]	-0.1672	0.4837	-1.0779	0.7933
delta[3,2]	-0.814	0.5073	-1.8183	0.2127
delta[4,2]	-0.3234	0.4799	-1.2625	0.6249
delta[4,3]	-1.9788	0.3969	-2.7513	-1.2007
delta[1,2]	-0.9889	0.3298	-1.6809	-0.3629
delta[2,2]	-0.9532	0.3123	-1.5869	-0.3493
delta[3,2]	0.3392	0.2095	-0.0934	0.7217
delta[4,2]	0.6217	0.2921	0.0644	1.242
delta[5,2]	0.5258	0.1986	0.1425	0.9223
delta[6,2]	-0.2635	0.288	-0.8083	0.3397
delta[7,2]	0.2321	0.2129	-0.1804	0.6556
delta[8,2]	0.5939	0.2625	0.0839	1.1376
delta[9,2]	0.5636	0.3178	-0.0704	1.2135
delta[10,2]	-0.235	0.3356	-0.8921	0.4223
delta[11,2]	-0.2407	0.0986	-0.4314	-0.0453
delta[12,2]	-0.8197	0.2462	-1.3082	-0.3394
delta[13,2]	0.5423	0.2719	-0.0214	1.087
delta[14,2]	0.4469	0.2634	-0.1252	0.9329
delta[15,2]	0.7501	0.3004	0.2384	1.4291
delta[16,2]	0.3679	0.3171	-0.2602	0.9881
delta[13,3]	-0.3104	0.2671	-0.8341	0.2311
delta[14,3]	-0.4413	0.243	-0.9303	0.0269
delta[15,3]	-0.2621	0.3076	-0.8448	0.3855
delta[16,3]	-0.0158	0.2881	-0.5757	0.5514
delta[1,2]	0.4093	0.2911	-0.1585	0.9827
delta[2,2]	0.9624	0.2534	0.477	1.4699
delta[3,2]	1.0711	0.3079	0.4645	1.6749
delta[4,2]	1.3234	0.4403	0.4805	2.209
delta[5,2]	0.4563	0.305	-0.1194	1.0787
delta[6,2]	1.5147	0.6484	0.2577	2.8023
delta[7,2]	0.7692	0.3201	0.1474	1.3965
delta[8,2]	1.2238	0.4191	0.4087	2.04
delta[9,2]	0.3645	0.5303	-0.6668	1.4223
delta[10,2]	0.8152	0.3376	0.1756	1.5087
delta[11,2]	0.5555	1.1546	-1.7008	2.7945
delta[12,2]	0.44	0.754	-1.0121	1.9263
delta[13,2]	-0.2584	0.4707	-1.1764	0.6667
delta[14,2]	1.6309	0.2805	1.093	2.1959
delta[15,2]	0.5721	0.5165	-0.4368	1.5654
delta[16,2]	0.4932	0.5977	-0.6693	1.6658
delta[17,2]	0.9367	0.2489	0.4419	1.421
delta[18,2]	0.937	0.237	0.4752	1.3983
delta[19,2]	1.1305	0.34	0.4759	1.8241
delta[20,2]	-0.0697	0.4524	-0.954	0.8137
delta[21,2]	1.4689	0.633	0.2368	2.7216
delta[22,2]	0.2242	0.3394	-0.4437	0.882
delta[23,2]	0.1873	0.623	-1.0412	1.4052
delta[24,2]	0.6075	0.2655	0.0794	1.1196
delta[25,2]	0.3791	0.7517	-1.0952	1.8566
delta[26,2]	0.5916	0.3573	-0.1115	1.2893
delta[27,2]	-1.5158	0.8769	-3.188	0.208
delta[28,2]	0.7573	0.3103	0.1478	1.364
delta[29,2]	0.0813	0.3078	-0.5249	0.6878
delta[30,2]	1.5395	0.4198	0.7259	2.3694
delta[31,2]	1.6005	0.268	1.0798	2.1341
delta[32,2]	-0.1338	0.5562	-1.2205	0.9365
delta[33,2]	0.9019	0.2363	0.4306	1.3557
delta[34,2]	1.9817	0.3384	1.3176	2.6504
delta[30,3]	1.3457	0.2505	0.8523	1.8368
delta[31,3]	1.3265	0.2616	0.8006	1.8313
delta[32,3]	-0.1365	0.5233	-1.1547	0.888
delta[33,3]	1.6489	0.2803	1.1222	2.2314
delta[34,3]	1.6284	0.2556	1.1331	2.1367
delta[1,2]	-1.5984	0.3385	-2.31	-0.9901
delta[2,2]	-0.7399	0.2964	-1.2869	-0.1323
delta[3,2]	-1.2593	0.3281	-1.92	-0.6188
delta[4,2]	-1.378	0.3591	-2.1295	-0.7012
delta[5,2]	-3.293	0.7679	-4.9942	-1.9742
delta[6,2]	-0.0518	0.3384	-0.731	0.5969
delta[7,2]	-1.0912	0.4528	-1.9325	-0.1462
delta[8,2]	-1.4697	0.3372	-2.1715	-0.8495
delta[9,2]	-1.2985	0.3426	-1.9911	-0.6262
delta[10,2]	-1.6651	0.4286	-2.6003	-0.9262
delta[11,2]	-1.0472	0.3691	-1.7336	-0.2642
delta[12,2]	-1.3448	0.3057	-1.9691	-0.7562
delta[13,2]	-2.437	0.4136	-3.2451	-1.6289
delta[14,2]	0.3969	0.2976	-0.1712	0.9881
delta[14,3]	-1.0706	0.3187	-1.6838	-0.4144
delta[1,2]	-0.3613	0.2927	-0.953	0.197
delta[2,2]	-0.2056	0.3205	-0.8745	0.4042
delta[3,2]	0.0828	0.2405	-0.3856	0.5541
delta[4,2]	-0.0513	0.1571	-0.3603	0.2587
delta[5,2]	-0.2237	0.1952	-0.6277	0.1441
delta[6,2]	0.1133	0.2376	-0.346	0.584
delta[7,2]	0.3655	0.2579	-0.1428	0.8671
delta[8,2]	0.0684	0.163	-0.2483	0.3876
delta[9,2]	-0.3674	0.3174	-0.971	0.2852
delta[10,2]	-0.0474	0.2591	-0.5609	0.4571
delta[11,2]	0.1928	0.1758	-0.1524	0.5385
delta[12,2]	-0.1349	0.1909	-0.5136	0.2437
delta[13,2]	0.1362	0.2713	-0.3917	0.6686
delta[14,2]	-0.0391	0.2052	-0.4233	0.3892
delta[15,2]	0.4327	0.2873	-0.1282	1.0159
delta[15,3]	-0.008	0.2519	-0.4937	0.5056
delta[1,2]	0.3175	0.2341	-0.138	0.7764
